algorithm,dataset,size,seed,repetition,runtime_ns,comparisons,writes,partition_calls,max_recursion_depth,peak_mem_bytes,correct,error
builtin_sorted,random,1000,1,0,4797800,8625,0,0,0,126340,True,
builtin_sorted,random,1000,2,0,4819800,8636,0,0,0,122884,True,
builtin_sorted,random,1000,3,0,4850500,8640,0,0,0,122868,True,
builtin_sorted,random,1000,4,0,5035000,8639,0,0,0,122852,True,
builtin_sorted,random,1000,5,0,4988100,8629,0,0,0,122836,True,
builtin_sorted,random,1000,6,0,4881500,8621,0,0,0,122820,True,
builtin_sorted,random,1000,7,0,4832100,8634,0,0,0,122804,True,
builtin_sorted,random,1000,8,0,4684700,8638,0,0,0,122772,True,
builtin_sorted,random,1000,9,0,4783400,8604,0,0,0,122756,True,
builtin_sorted,random,1000,10,0,4895400,8649,0,0,0,122740,True,
builtin_sorted,random,1000,11,0,4850500,8640,0,0,0,122724,True,
builtin_sorted,random,1000,12,0,4756500,8624,0,0,0,122708,True,
builtin_sorted,random,1000,13,0,4781800,8632,0,0,0,122692,True,
builtin_sorted,random,1000,14,0,4704200,8640,0,0,0,122676,True,
builtin_sorted,random,1000,15,0,4672600,8626,0,0,0,122660,True,
builtin_sorted,random,5000,1,0,29555000,54907,0,0,0,604676,True,
builtin_sorted,random,5000,2,0,30956900,54910,0,0,0,604660,True,
builtin_sorted,random,5000,3,0,31019700,54863,0,0,0,604644,True,
builtin_sorted,random,5000,4,0,32068600,54907,0,0,0,604628,True,
builtin_sorted,random,5000,5,0,29973000,54877,0,0,0,604612,True,
builtin_sorted,random,5000,6,0,31090200,55003,0,0,0,604596,True,
builtin_sorted,random,5000,7,0,31346300,54904,0,0,0,604580,True,
builtin_sorted,random,5000,8,0,31242100,54867,0,0,0,604564,True,
builtin_sorted,random,5000,9,0,30373800,54856,0,0,0,604532,True,
builtin_sorted,random,5000,10,0,30290600,54893,0,0,0,604516,True,
builtin_sorted,random,5000,11,0,30211600,54913,0,0,0,604508,True,
builtin_sorted,random,5000,12,0,32079000,54947,0,0,0,604500,True,
builtin_sorted,random,5000,13,0,31910000,54923,0,0,0,604492,True,
builtin_sorted,random,5000,14,0,31868300,54962,0,0,0,604492,True,
builtin_sorted,random,5000,15,0,30700000,54935,0,0,0,604492,True,
builtin_sorted,random,10000,1,0,65958400,119820,0,0,0,1211084,True,
builtin_sorted,random,10000,2,0,66969700,119789,0,0,0,1211084,True,
builtin_sorted,random,10000,3,0,67908700,119817,0,0,0,1211084,True,
builtin_sorted,random,10000,4,0,69844800,119831,0,0,0,1211088,True,
builtin_sorted,random,10000,5,0,72287300,119867,0,0,0,1211084,True,
builtin_sorted,random,10000,6,0,68810800,119854,0,0,0,1211084,True,
